"ID","Label1","Prob1","Accept1","Label2","Prob2","Accept2","QAQC"
"MORA_9_NBR_1987_2023_2015_196","Fire",51.9,"yes","Clearing",13.4,"no",FALSE
"MORA_9_NBR_1987_2023_2015_362","Inter-annual Variability",84.5,"yes","Progressive Defoliation",4.7,"no",FALSE
"MORA_9_NBR_1987_2023_2015_377","Inter-annual Variability",77.6,"yes","Progressive Defoliation",7.2,"no",FALSE
"MORA_9_NBR_1987_2023_2015_681","Inter-annual Variability",66.4,"yes","Progressive Defoliation",18.5,"yes",FALSE
"MORA_9_NBR_1987_2023_2015_702","Inter-annual Variability",84.6,"yes","Mass Movement",3.5,"no",FALSE
"MORA_9_NBR_1987_2023_2015_725","Inter-annual Variability",82.8,"yes","Progressive Defoliation",5.6,"no",FALSE
"MORA_9_NBR_1987_2023_2015_738","Inter-annual Variability",70.7,"yes","Progressive Defoliation",13.6,"yes",FALSE
"MORA_9_NBR_1987_2023_2015_821","Inter-annual Variability",41,"yes","Progressive Defoliation",17.9,"yes",FALSE
"MORA_9_NBR_1987_2023_2015_824","Inter-annual Variability",79.4,"yes","Progressive Defoliation",4.8,"no",FALSE
"MORA_9_NBR_1987_2023_2015_828","Inter-annual Variability",71.7,"yes","Mass Movement",7.2,"no",FALSE
"MORA_9_NBR_1987_2023_2015_829","Inter-annual Variability",37.6,"yes","Progressive Defoliation",19.7,"yes",FALSE
"MORA_9_NBR_1987_2023_2015_834","Inter-annual Variability",81.5,"yes","Progressive Defoliation",5.4,"no",FALSE
"MORA_9_NBR_1987_2023_2015_863","Inter-annual Variability",80.1,"yes","Progressive Defoliation",7.4,"no",FALSE
"MORA_9_NBR_1987_2023_2015_947","Inter-annual Variability",52.6,"yes","Mass Movement",28.9,"no",FALSE
"MORA_9_NBR_1987_2023_2015_950","Inter-annual Variability",49.8,"yes","Avalanche",22.7,"no",FALSE
"MORA_9_NBR_1987_2023_2015_962","Inter-annual Variability",85.9,"yes","Mass Movement",6.6,"no",FALSE
"MORA_9_NBR_1987_2023_2015_973","Inter-annual Variability",41.1,"yes","Mass Movement",14.8,"no",FALSE
"MORA_9_NBR_1987_2023_2016_90","Clearing",71.6,"no","Mass Movement",11.8,"no",FALSE
"MORA_9_NBR_1987_2023_2016_194","Fire",88.8,"yes","Inter-annual Variability",2.3,"no",FALSE
"MORA_9_NBR_1987_2023_2016_274","Mass Movement",69.3,"no","Fire",10,"no",FALSE
"MORA_9_NBR_1987_2023_2018_218","Fire",47.6,"yes","Mass Movement",13.7,"no",FALSE
"MORA_9_NBR_1987_2023_2018_239","Fire",34.3,"yes","Mass Movement",18.4,"no",FALSE
"MORA_9_NBR_1987_2023_2018_293","Fire",43.2,"yes","Mass Movement",12.2,"no",FALSE
"MORA_9_NBR_1987_2023_2018_356","Fire",44.6,"yes","Inter-annual Variability",17.9,"yes",FALSE
"MORA_9_NBR_1987_2023_2018_466","Fire",32.5,"yes","Mass Movement",22.6,"no",FALSE
"MORA_9_NBR_1987_2023_2018_557","Progressive Defoliation",50.6,"yes","Fire",23.9,"yes",FALSE
"MORA_9_NBR_1987_2023_2018_596","Fire",35.8,"yes","Mass Movement",23.1,"no",FALSE
"MORA_9_NBR_1987_2023_2018_786","Fire",50.1,"yes","Mass Movement",12.1,"no",FALSE
"MORA_9_NBR_1987_2023_2019_182","Fire",39.8,"yes","Progressive Defoliation",17.1,"yes",FALSE
"MORA_9_NBR_1987_2023_2019_242","Fire",59.8,"yes","Mass Movement",9.3,"no",TRUE
"MORA_9_NBR_1987_2023_2019_284","Fire",61.1,"yes","Tree Toppling",10.7,"no",FALSE
"MORA_9_NBR_1987_2023_2019_297","Fire",36.3,"yes","Tree Toppling",14.7,"no",FALSE
"MORA_9_NBR_1987_2023_2019_302","Fire",27.2,"yes","Avalanche",16.7,"no",FALSE
"MORA_9_NBR_1987_2023_2019_317","Fire",21.5,"yes","Avalanche",18.1,"no",FALSE
"MORA_9_NBR_1987_2023_2019_324","Fire",40.1,"yes","Tree Toppling",14.1,"no",FALSE
"MORA_9_NBR_1987_2023_2019_332","Fire",52.1,"yes","Tree Toppling",11.2,"no",FALSE
"MORA_9_NBR_1987_2023_2019_349","Fire",61.9,"yes","Tree Toppling",10.4,"no",FALSE
"MORA_9_NBR_1987_2023_2019_357","Fire",52.6,"yes","Tree Toppling",13.1,"no",FALSE
"MORA_9_NBR_1987_2023_2019_366","Fire",57,"yes","Tree Toppling",16.2,"no",FALSE
"MORA_9_NBR_1987_2023_2019_370","Fire",49.4,"yes","Tree Toppling",14.1,"no",FALSE
"MORA_9_NBR_1987_2023_2019_379","Fire",34.7,"yes","Tree Toppling",17.1,"no",FALSE
"MORA_9_NBR_1987_2023_2019_390","Fire",52.5,"yes","Tree Toppling",20.8,"no",FALSE
"MORA_9_NBR_1987_2023_2019_394","Fire",46,"yes","Tree Toppling",13.9,"no",FALSE
"MORA_9_NBR_1987_2023_2019_405","Fire",71,"yes","Tree Toppling",13.7,"no",FALSE
"MORA_9_NBR_1987_2023_2019_411","Fire",44.7,"yes","Tree Toppling",18.4,"no",FALSE
"MORA_9_NBR_1987_2023_2019_430","Fire",42.1,"yes","Tree Toppling",16.7,"no",FALSE
"MORA_9_NBR_1987_2023_2019_431","Fire",26.4,"yes","Avalanche",18.3,"no",FALSE
"MORA_9_NBR_1987_2023_2019_455","Fire",54.3,"yes","Tree Toppling",14.5,"no",FALSE
"MORA_9_NBR_1987_2023_2019_460","Fire",67.7,"yes","Tree Toppling",15.6,"no",FALSE
"MORA_9_NBR_1987_2023_2019_467","Fire",66.2,"yes","Tree Toppling",16.2,"no",FALSE
"MORA_9_NBR_1987_2023_2019_474","Fire",35.5,"yes","Tree Toppling",16.4,"no",FALSE
"MORA_9_NBR_1987_2023_2019_486","Fire",60.3,"yes","Tree Toppling",13.9,"no",FALSE
"MORA_9_NBR_1987_2023_2019_499","Fire",65.2,"yes","Tree Toppling",10.6,"no",FALSE
