id,yod,annualID,Event_type,ChangeType,Confidence,Alt_type,ChangeDesc,In_Park,Dist_Year,Dist_name
1,1987,453,,,,,,N,,
2,1987,466,,,,,,N,,
3,1987,498,,,,,,N,,
4,1987,532,,,,,,N,,
5,1987,586,,,,,,N,,
6,1987,598,,,,,,N,,
7,1987,631,,,,,,N,,
8,1987,641,,,,,,N,,
9,1987,643,,,,,,N,,
10,1987,645,,,,,,N,,
11,1987,646,,,,,,N,,
12,1987,674,,,,,,N,,
13,1987,677,,,,,,N,,
14,1987,684,,,,,,N,,
15,1987,686,,,,,,N,,
16,1987,689,,,,,,N,,
17,1987,693,,,,,,N,,
18,1987,698,,,,,,N,,
19,1987,704,,,,,,N,,
20,1987,706,,,,,,N,,
21,1987,708,,,,,,N,,
22,1987,712,,,,,,N,,
23,1987,715,,,,,,N,,
24,1987,717,Mask,Inter-annual Variability,2,,Fully in mask,N,,
25,1987,722,,,,,,N,,
26,1987,723,,,,,,N,,
27,1987,724,Mask,Inter-annual Variability,2,,Fully in mask,N,,
28,1987,728,,,,,,N,,
29,1987,731,,,,,,N,,
30,1987,739,,,,,,N,,
31,1987,742,,,,,,N,,
32,1987,749,,,,,,N,,
33,1987,771,,,,,,N,,
34,1987,825,Mask,Inter-annual Variability,2,,Fully in mask,N,,
35,1987,826,,,,,,N,,
36,1987,837,,,,,,N,,
37,1987,840,,,,,,N,,
38,1987,845,,,,,,N,,
39,1987,853,,,,,,N,,
40,1987,865,,,,,,Y,,
41,1987,867,,,,,,Y,,
42,1987,874,,,,,,Y,,
43,1987,877,,,,,,Y,,
44,1987,878,Mask,Inter-annual Variability,2,,Fully in mask,N,,
45,1987,881,,,,,,N,,
46,1987,886,,,,,,N,,
47,1987,890,,,,,,Y,,
48,1987,895,,,,,,Y,,
49,1987,897,,,,,,Y,,
50,1987,899,,,,,,Y,,
51,1987,900,,,,,,Y,,
52,1987,909,,,,,,Y,,
53,1987,914,,,,,,Y,,
54,1987,915,,,,,,Y,,
55,1987,924,,,,,,Y,,
56,1987,926,,,,,,Y,,
57,1987,927,,,,,,Y,,
58,1987,931,,,,,,Y,,
59,1987,939,,,,,,Y,,
